,0,1,2,3,4,5,6,7,8,9,10
1767,113447008,Arthrobacter viscosus,active,2002-01-31,Arthrobacter viscosus (organism),Arthrobacter viscosus,Arthrobacter 56214009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Irregular non-sporing gram-positive rod 115199003 Arthrobacter 56214009 Arthrobacter viscosus 113447008,sorted most to least specificArthrobacter 56214009Irregular non-sporing gram-positive rod 115199003Family Micrococcaceae 115105004Catalase-positive Gram-positive coccus 243226004Gram-positive bacillus 83514008Suborder Micrococcineae 415656009Firmicutes 115195009Gram-positive coccus 59206002Actinomycetales 409833000Gram-positive bacteria 8745002Cocci 83045001Actinobacteridae 409835007Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1769,113448003,Arthrobacter woluwensis,active,2002-01-31,Arthrobacter woluwensis (organism),Arthrobacter woluwensis,Arthrobacter 56214009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Irregular non-sporing gram-positive rod 115199003 Arthrobacter 56214009 Arthrobacter woluwensis 113448003,sorted most to least specificArthrobacter 56214009Irregular non-sporing gram-positive rod 115199003Family Micrococcaceae 115105004Catalase-positive Gram-positive coccus 243226004Gram-positive bacillus 83514008Suborder Micrococcineae 415656009Firmicutes 115195009Gram-positive coccus 59206002Actinomycetales 409833000Gram-positive bacteria 8745002Cocci 83045001Actinobacteridae 409835007Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1771,115136007,Atopobium,active,2002-01-31,Genus Atopobium (organism),AtopobiumGenus AtopobiumAtopobium species,Non-Sporing Gram Positive Rods 115198006Family Coriobacteriaceae 414201007,Atopobium deltae 761857000Atopobium fossor 428580003Atopobium minutum 113630002Atopobium parvulum 113631003Atopobium rimae 113632005Atopobium species 131250006 removed: 2015-01-31Atopobium vaginae 417246003,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Atopobium 115136007SNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Form-bacillus 416455007 Actinobacteria 409823008 Class Actinobacteria 413857000 Coriobacteridae 417304005 Coriobacteriales 414959006 Coriobacterineae 426658004 Family Coriobacteriaceae 414201007 Atopobium 115136007,sorted most to least specificFamily Coriobacteriaceae 414201007Non-Sporing Gram Positive Rods 115198006Gram-positive bacillus 83514008Coriobacterineae 426658004Firmicutes 115195009Gram-positive bacteria 8745002Coriobacteriales 414959006Coriobacteridae 417304005Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
1773,428580003,Atopobium fossor,active,2008-01-31,Atopobium fossor (organism),Atopobium fossorEubacterium fossor,Atopobium 115136007,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Atopobium 115136007 Atopobium fossor 428580003,sorted most to least specificAtopobium 115136007Non-Sporing Gram Positive Rods 115198006Family Coriobacteriaceae 414201007Gram-positive bacillus 83514008Coriobacterineae 426658004Firmicutes 115195009Coriobacteriales 414959006Gram-positive bacteria 8745002Coriobacteridae 417304005Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1775,113630002,Atopobium minutum,active,2002-01-31,Atopobium minutum (organism),Atopobium minutumLactobacillus minutus,Atopobium 115136007,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Atopobium 115136007 Atopobium minutum 113630002,sorted most to least specificAtopobium 115136007Non-Sporing Gram Positive Rods 115198006Family Coriobacteriaceae 414201007Gram-positive bacillus 83514008Coriobacterineae 426658004Firmicutes 115195009Coriobacteriales 414959006Gram-positive bacteria 8745002Coriobacteridae 417304005Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1777,113631003,Atopobium parvulum,active,2002-01-31,Atopobium parvulum (organism),Atopobium parvulumStreptococcus parvulusPeptostreptococcus parvulus,Atopobium 115136007,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Atopobium 115136007 Atopobium parvulum 113631003,sorted most to least specificAtopobium 115136007Non-Sporing Gram Positive Rods 115198006Family Coriobacteriaceae 414201007Gram-positive bacillus 83514008Coriobacterineae 426658004Firmicutes 115195009Coriobacteriales 414959006Gram-positive bacteria 8745002Coriobacteridae 417304005Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1779,113632005,Atopobium rimae,active,2002-01-31,Atopobium rimae (organism),Atopobium rimaeLactobacillus rimae,Atopobium 115136007,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Atopobium 115136007 Atopobium rimae 113632005,sorted most to least specificAtopobium 115136007Non-Sporing Gram Positive Rods 115198006Family Coriobacteriaceae 414201007Gram-positive bacillus 83514008Coriobacterineae 426658004Firmicutes 115195009Coriobacteriales 414959006Gram-positive bacteria 8745002Coriobacteridae 417304005Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1781,417246003,Atopobium vaginae,active,2005-07-31,Atopobium vaginae (organism),Atopobium vaginae,Atopobium 115136007,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Non-Sporing Gram Positive Rods 115198006 Atopobium 115136007 Atopobium vaginae 417246003,sorted most to least specificAtopobium 115136007Non-Sporing Gram Positive Rods 115198006Family Coriobacteriaceae 414201007Gram-positive bacillus 83514008Coriobacterineae 426658004Firmicutes 115195009Coriobacteriales 414959006Gram-positive bacteria 8745002Coriobacteridae 417304005Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1783,708495002,Aureimonas altamirensis,active,2015-01-31,Aureimonas altamirensis (organism),Aureimonas altamirensisAurantimonas altamirensis,Aureimonas 708491006,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Alphaproteobacteria 413858005 Rhizobiales 414968008 Aurantimonadaceae 414194000 Aureimonas 708491006 Aureimonas altamirensis 708495002,sorted most to least specificAureimonas 708491006Aurantimonadaceae 414194000Rhizobiales 414968008Alphaproteobacteria 413858005Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1785,708491006,Aureimonas,active,2015-01-31,Aureimonas (organism),Genus AureimonasAureimonas,Aurantimonadaceae 414194000,Aureimonas altamirensis 708495002,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Alphaproteobacteria 413858005 Rhizobiales 414968008 Aurantimonadaceae 414194000 Aureimonas 708491006,sorted most to least specificAurantimonadaceae 414194000Rhizobiales 414968008Alphaproteobacteria 413858005Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
1789,114063000,Microbacterium liquefaciens,active,2002-01-31,Microbacterium liquefaciens (organism),Aureobacterium liquefaciensMicrobacterium liquefaciens,Microbacterium 114199008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Irregular non-sporing gram-positive rod 115199003 Microbacterium 114199008 Microbacterium liquefaciens 114063000,sorted most to least specificMicrobacterium 114199008Irregular non-sporing gram-positive rod 115199003Microbacteriaceae 385499003Gram-positive bacillus 83514008Suborder Micrococcineae 415656009Firmicutes 115195009Actinomycetales 409833000Gram-positive bacteria 8745002Actinobacteridae 409835007Class Actinobacteria 413857000Actinobacteria 409823008Form-bacillus 416455007Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1791,421099007,Genus Averyella,active,2006-07-31,Genus Averyella (organism),Genus AveryellaAveryella,Enterobacteriaceae 106544002,Averyella dalhousiensis 421390000,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Facultatively anaerobic gram-negative rod 115173005 Enterobacteriaceae 106544002 Genus Averyella 421099007,sorted most to least specificEnterobacteriaceae 106544002Order Enterobacterales 417937002Coliform bacteria 77309002Facultatively anaerobic gram-negative rod 115173005Gram-negative bacillus 87172008Gammaproteobacteria 413864003Proteobacteria 409852006Form-bacillus 416455007Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
1793,429633008,Azorhizobium,active,2008-01-31,Genus Azorhizobium (organism),Genus AzorhizobiumAzorhizobium,Xanthobacteraceae 429717003,Azorhizobium caulinodans 428325009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Alphaproteobacteria 413858005 Rhizobiales 414968008 Xanthobacteraceae 429717003 Azorhizobium 429633008,sorted most to least specificXanthobacteraceae 429717003Rhizobiales 414968008Alphaproteobacteria 413858005Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
1795,428325009,Azorhizobium caulinodans,active,2008-01-31,Azorhizobium caulinodans (organism),Azorhizobium caulinodans,Azorhizobium 429633008,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Gram-negative bacterium 81325006 Proteobacteria 409852006 Alphaproteobacteria 413858005 Rhizobiales 414968008 Xanthobacteraceae 429717003 Azorhizobium 429633008 Azorhizobium caulinodans 428325009,sorted most to least specificAzorhizobium 429633008Xanthobacteraceae 429717003Rhizobiales 414968008Alphaproteobacteria 413858005Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1797,413607005,Azospirillum,active,2005-01-31,Genus Azospirillum (organism),AzospirillumGenus AzospirillumAzospirillum species,Rhodospirillaceae 414223006,Azospirillum amazonense 413608000Azospirillum brasilense 413609008Azospirillum doebereinerae 413610003Azospirillum halopraeferens 413611004Azospirillum irakense 413612006Azospirillum largimobile 413613001Azospirillum lipoferum 413614007Azospirillum species 413615008 removed: 2015-01-31,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerotolerant anaerobic bacteria 413463002 Rhodospirillaceae 414223006 Azospirillum 413607005,sorted most to least specificRhodospirillaceae 414223006Aerotolerant anaerobic bacteria 413463002Microaerophilic bacteria 414696004Purple bacteria 415220001Rhodospirillales 115190004Alphaproteobacteria 413858005Phototrophic bacteria 415097001Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
1799,413609008,Azospirillum brasilense,active,2005-01-31,Azospirillum brasilense (organism),Azospirillum brasilense,Azospirillum 413607005,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerotolerant anaerobic bacteria 413463002 Rhodospirillaceae 414223006 Azospirillum 413607005 Azospirillum brasilense 413609008,sorted most to least specificAzospirillum 413607005Rhodospirillaceae 414223006Microaerophilic bacteria 414696004Aerotolerant anaerobic bacteria 413463002Purple bacteria 415220001Rhodospirillales 115190004Phototrophic bacteria 415097001Alphaproteobacteria 413858005Proteobacteria 409852006Gram-negative bacterium 81325006Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1801,44762009,Bacillus,active,2002-01-31,Genus Bacillus (organism),Genus BacillusBacillus speciesAerobic spore-bearerBacillus,Bacillaceae 114251000Aerobic bacteria 27471002Gram-positive spore-forming bacillus 44143003,"Bacillus acidicola 3131000146100Bacillus acidocaldarius 79942000 removed: 2006-07-31Bacillus aeolius 428272006Bacillus aerius 446486005Bacillus aerophilus 699339000Bacillus agaradhaerens 429112003Bacillus agardhaerebs 113449006 removed: 2008-01-31Bacillus akibai 3141000146108Bacillus albus 789647007Bacillus alcalophilus 90547001Bacillus algicola 428278005Bacillus alginolyticus 56616004 removed: 2006-07-31Bacillus alkalitelluris 734188008Bacillus altitudinis 699342006Bacillus alveayuensis 3151000146106Bacillus alvei 24281005 removed: 2006-07-31Bacillus amylolyticus 31823009 removed: 2006-07-31Bacillus aquimaris 423188000Bacillus arenosi 429015003 removed: 2010-01-31Bacillus arseniciselenatis 429004008Bacillus arsenicus 3161000146109Bacillus arvi 428344002 removed: 2010-01-31Bacillus aryabhattai 448503008Bacillus asahii 429115001Bacillus atrophaeus 113450006Bacillus azotofixans 3535000 removed: 2006-07-31Bacillus azotoformans 72997009Bacillus badius 33457001Bacillus bataviensis 429246006Bacillus benzoevorans 39232002Bacillus beringensis 763059008Bacillus boroniphilus 427831003Bacillus brevis 80995001 removed: 2006-07-31Bacillus butanolivorans 447039005Bacillus carboniphilus 113451005Bacillus cellulosilyticus 3171000146103Bacillus cereus group 413618005Bacillus chagannorensis 3181000146101Bacillus chittonlyticus 113452003Bacillus chondroitinus 43543004 removed: 2006-07-31Bacillus cibi 3191000146104Bacillus circulans group 413619002Bacillus clarkii 113453008Bacillus clausii 113454002Bacillus coagulans 81346002Bacillus cohnii 113455001Bacillus composti 708488006Bacillus crassostreae 734187003Bacillus decisifrondis 445081000Bacillus decolorationis 429116000Bacillus dipsosauri 113456000Bacillus drentensis 428129008Bacillus edaphicus 428284008 removed: 2016-01-31Bacillus ehimensis 113457009Bacillus eiseniae 737508009Bacillus endolithicus 788704007Bacillus endophyticus 429137008Bacillus farraginis 429348009Bacillus fastidiosus 35784003Bacillus flexus 113458004Bacillus foraminis 450387001Bacillus fordii 417062004Bacillus fortis 427859002Bacillus fumarioli 429118004Bacillus funiculus 428387004Bacillus fusiformis 113459007 removed: 2010-07-31Bacillus galactosidilyticus 427864003Bacillus gibsonii 113460002Bacillus ginsengi 445082007Bacillus globisporus 61921003 removed: 2008-01-31Bacillus globisporus ss globisporus 113461003 removed: 2008-01-31Bacillus glycinifermentans 816042007Bacillus gobiensis 738406009Bacillus gornadae 29100001Bacillus gottheilii 717057008Bacillus halmapalus 113462005Bacillus haloalkaliphilus 113463000 removed: 2016-01-31Bacillus halodenitrificans 113464006Bacillus halodurans 113465007Bacillus halophilus 113466008 removed: 2016-01-31Bacillus halosaccharovorans 723330002Bacillus haynesii 816041000Bacillus hemicellulosilyticus 3201000146102Bacillus herbersteinensis 450389003Bacillus horikoshii 113467004Bacillus horneckiae 448654000Bacillus horti 429138003Bacillus humi 429139006Bacillus hwajinpoensis 429035002Bacillus idriensis 447040007Bacillus indicus 429145003Bacillus infantis 432698009Bacillus infernus 113468009Bacillus insolitus 54382003 removed: 2018-01-31Bacillus isronensis 699336007Bacillus jeotgali 429127003Bacillus kaustophilus 113469001Bacillus koreensis 717161000Bacillus korlensis 447041006Bacillus krulwichiae 429126007Bacillus laevolacticus 113470000 removed: 2016-01-31Bacillus larvae 361003 removed: 2006-07-31Bacillus laterosporus 72819005 removed: 2006-07-31Bacillus lautus 14680001 removed: 2006-07-31Bacillus lentimorbus 67369004 removed: 2005-01-31Bacillus litoralis 450388006Bacillus luciferensis 429675009Bacillus macerans 38674008 removed: 2006-07-31Bacillus macquariensis 48690006 removed: 2006-07-31Bacillus macroides 413620008Bacillus macyae 429206000Bacillus mannanilyticus 3221000146105Bacillus marinus 87850009Bacillus marisflavi 424425003Bacillus megaterium 79109002Bacillus methanolicus 113471001Bacillus methylotrophicus 450406007Bacillus mojavensis 113472008Bacillus muralis 428576008Bacillus nealsonii 428577004Bacillus neidei 429407007 removed: 2010-01-31Bacillus niabensis 450390007Bacillus niacini 429747001Bacillus niacinii 113486007 removed: 2008-01-31Bacillus novalis 429212005Bacillus oceanisediminis 699338008Bacillus odysseyi 428958007Bacillus okhensis 3231000146107Bacillus okuhidensis 429468004Bacillus oleronius 113487003Bacillus oshimensis 3241000146104Bacillus pabuli 57237007 removed: 2006-07-31Bacillus pantothenticus 43391004 removed: 2006-07-31Bacillus paralicheniformis 816040004Bacillus pasteurii 43131009Bacillus patagoniensis 428962001Bacillus piliformis 24819007 removed: 2006-07-31Bacillus pocheonensis 442283002Bacillus polymyxa 9601002 removed: 2006-07-31Bacillus popilliae 61311002 removed: 2005-01-31Bacillus pseudalcaliphilus 113474009Bacillus pseudofirmus 113475005Bacillus pseudomycoides 429077002Bacillus psychrodurans 429078007 removed: 2018-01-31Bacillus psychrophilus 1810009Bacillus psychrosaccharolyticus 113476006Bacillus psychrotolerans 429748006 removed: 2016-01-31Bacillus pulvifaciens 112274002Bacillus purgationiresistens 699337003Bacillus pycnus 428897000 removed: 2012-07-31Bacillus ruris 3251000146101Bacillus safensis 699340003Bacillus salarius 3261000146103Bacillus salexigens 113478007Bacillus saliphilus 428588005Bacillus schlegelii 51823001 removed: 2016-01-31Bacillus selenitireducens 428966003Bacillus seohaeanensis 3271000146109Bacillus shackletonii 429221006Bacillus siamensis 450407003Bacillus simplex 113479004Bacillus siralis 428972003Bacillus smithii 84789000Bacillus soli 428973008Bacillus sonorensis 429472000Bacillus species 372377007 removed: 2015-01-31Bacillus species not Bacillus anthracis 413352001Bacillus species, not Bacillus cereus 716345001Bacillus sphaericus 70313006 removed: 2018-01-31Bacillus sporothermodurans 113480001Bacillus stearothermophilus 25484005 removed: 2018-01-31Bacillus stratosphericus 699341004Bacillus subterraneus 429486001Bacillus subtilis group 413621007Bacillus subtilis subspecies inaquosorum 447068006Bacillus subtilis subspecies niger 196981801000087107Bacillus taiwanensis 718787007Bacillus tequilensis 447069003Bacillus thermantarcticus 429760007Bacillus thermoamylovorans 113481002Bacillus thermocatenulatus 113482009Bacillus thermocloacae 113483004Bacillus thermoruber 18261004 removed: 2006-07-31Bacillus thioparans 3281000146106Bacillus tusciae 34498004Bacillus validus 59425002 removed: 2006-07-31Bacillus vallismortis 113484005Bacillus vedderi 113485006Bacillus velezensis 429488000Bacillus vietnamensis 429229008Bacillus vireti 429230003Bacillus wakoensis 3291000146108Bacillus wiedmannii 761863009Bacillus xiamenensis 717056004",a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Endospore forming gram-positive rod 115197001 Bacillaceae 114251000 Bacillus 44762009SNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009SNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Bacterium 41146007 Form-bacillus 416455007 Gram-positive bacillus 83514008 Gram-positive spore-forming bacillus 44143003 Bacillus 44762009,sorted most to least specificGram-positive spore-forming bacillus 44143003Bacillaceae 114251000Aerobic bacteria 27471002Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP
1803,428272006,Bacillus aeolius,active,2008-01-31,Bacillus aeolius (organism),Bacillus aeolius,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus aeolius 428272006,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1805,446486005,Bacillus aerius,active,2011-01-31,Bacillus aerius (organism),Bacillus aerius,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus aerius 446486005,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1807,429112003,Bacillus agaradhaerens,active,2008-01-31,Bacillus agaradhaerens (organism),Bacillus agaradhaerens,Bacillus 44762009,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Aerobic bacteria 27471002 Bacillus 44762009 Bacillus agaradhaerens 429112003,sorted most to least specificBacillus 44762009Gram-positive spore-forming bacillus 44143003Aerobic bacteria 27471002Bacillaceae 114251000Endospore forming gram-positive rod 115197001Bacillales 409842007Class Bacilli 416207009Gram-positive bacillus 83514008Form-bacillus 416455007Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
1809,114115001,Brevibacillus agri,active,2002-01-31,Brevibacillus agri (organism),Brevibacillus agriBacillus galactophilusBacillus agri,Brevibacillus 114114002,a selection of possible pathsSNOMED CT Concept 138875005 Organism 410607006 Bacteria 409822003 Firmicutes 115195009 Class Bacilli 416207009 Bacillales 409842007 Paenibacillaceae 414213002 Brevibacillus 114114002 Brevibacillus agri 114115001,sorted most to least specificBrevibacillus 114114002Paenibacillaceae 414213002Bacillales 409842007Class Bacilli 416207009Gram-positive bacteria 8745002Firmicutes 115195009Bacterium 41146007Bacteria 409822003Organism 410607006SNOMED CT Concept 138875005,Rules-based maps relating CPT® codes to and from SNOMED CT® clinical concepts. Forward and backward mapping allows for easy transition between code sets. Map-A-Code crosswalk tool easily crosswalks multiple codes between the code sets.Access to this feature is available in the following products:CPT® to SNOMED Crosswalkssign INsign UP,
